SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0
30,Lame MP3 Compression V6,5,0.66125,0.4372515625
30,Lame MP3 Compression V7,6,0.76275,0.5817875625000001
30,Lame MP3 Compression V8,7,0.9405,0.88454025
30,Lame MP3 Compression V9,8,0.96375,0.9288140625
30,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
30,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
30,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
30,Lame Constant MP3 Compression Bitrate 64,12,0.5715,0.32661225
31,Lame MP3 Compression V1,0,0.05825,0.0033930625000000002
31,Lame MP3 Compression V2,1,0.136,0.018496000000000002
31,Lame MP3 Compression V3,2,0.1925,0.03705625
31,Lame MP3 Compression V4,3,0.3325,0.11055625000000001
31,Lame MP3 Compression V5,4,0.481,0.23136099999999998
31,Lame MP3 Compression V6,5,0.69425,0.48198306250000006
31,Lame MP3 Compression V7,6,0.6935,0.48094225
31,Lame MP3 Compression V8,7,0.84925,0.7212255624999999
31,Lame MP3 Compression V9,8,0.869,0.755161
31,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
31,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
31,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
31,Lame Constant MP3 Compression Bitrate 64,12,0.532,0.28302400000000005
32,Lame MP3 Compression V1,0,0.06075,0.0036905625
32,Lame MP3 Compression V2,1,0.05275,0.0027825625
32,Lame MP3 Compression V3,2,0.095,0.009025
32,Lame MP3 Compression V4,3,0.25675,0.06592056249999999
32,Lame MP3 Compression V5,4,0.5305,0.28143025
32,Lame MP3 Compression V6,5,0.666,0.44355600000000006
32,Lame MP3 Compression V7,6,0.8085,0.65367225
32,Lame MP3 Compression V8,7,0.87875,0.7722015625
32,Lame MP3 Compression V9,8,0.91525,0.8376825625000001
32,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
32,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
32,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
32,Lame Constant MP3 Compression Bitrate 64,12,0.68625,0.47093906250000006
33,Lame MP3 Compression V1,0,0.12025,0.014460062499999999
33,Lame MP3 Compression V2,1,0.13775,0.018975062500000004
33,Lame MP3 Compression V3,2,0.21025,0.044205062499999996
33,Lame MP3 Compression V4,3,0.345,0.11902499999999998
33,Lame MP3 Compression V5,4,0.5725,0.32775625
33,Lame MP3 Compression V6,5,0.7495,0.5617502500000001
33,Lame MP3 Compression V7,6,0.78775,0.6205500624999999
33,Lame MP3 Compression V8,7,0.8945,0.8001302499999999
33,Lame MP3 Compression V9,8,0.94175,0.8868930625
33,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
33,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
33,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
33,Lame Constant MP3 Compression Bitrate 64,12,0.59775,0.3573050625
34,Lame MP3 Compression V1,0,0.08,0.0064
34,Lame MP3 Compression V2,1,0.1405,0.019740250000000004
34,Lame MP3 Compression V3,2,0.19625,0.0385140625
34,Lame MP3 Compression V4,3,0.32,0.1024
34,Lame MP3 Compression V5,4,0.5265,0.27720225
34,Lame MP3 Compression V6,5,0.74125,0.5494515624999999
34,Lame MP3 Compression V7,6,0.73175,0.5354580625
34,Lame MP3 Compression V8,7,0.90875,0.8258265624999999
34,Lame MP3 Compression V9,8,0.9435,0.89019225
34,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
34,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
34,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
34,Lame Constant MP3 Compression Bitrate 64,12,0.58175,0.3384330625
35,Lame MP3 Compression V1,0,0.048,0.002304
35,Lame MP3 Compression V2,1,0.137,0.018769000000000004
35,Lame MP3 Compression V3,2,0.19425,0.037733062500000004
35,Lame MP3 Compression V4,3,0.3605,0.12996025
35,Lame MP3 Compression V5,4,0.5345,0.28569025
35,Lame MP3 Compression V6,5,0.742,0.5505639999999999
35,Lame MP3 Compression V7,6,0.74775,0.5591300625000001
35,Lame MP3 Compression V8,7,0.92025,0.8468600625
35,Lame MP3 Compression V9,8,0.9425,0.88830625
