SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0,PEAQ_OBJECTIVE_DIFFERENCE VARIANCE,COMPRESSION_RATIO,COMPRESSION_RATIO ^ 2.0,COMPRESSION_RATIO VARIANCE
9,Lame MP3 Compression V4,3,0.2675,0.07155625,0.0,0.09532636038660135,0.009087114984556199,0.0
9,Lame MP3 Compression V5,4,0.51125,0.26137656249999996,0.0,0.08151625945879885,0.006644900556154213,0.0
9,Lame MP3 Compression V6,5,0.68425,0.4681980625,0.0,0.07296132968051411,0.005323355628748669,0.0
9,Lame MP3 Compression V7,6,0.7305,0.5336302500000001,0.0,0.06709509211826171,0.0045017513863580255,0.0
9,Lame MP3 Compression V8,7,0.9015,0.81270225,0.0,0.051207365387161495,0.002622194269894265,0.0
9,Lame MP3 Compression V9,8,0.93875,0.8812515624999999,0.0,0.04277464889142368,0.0018296705877845734,0.0
9,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
9,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
9,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17207630182607014,0.02961025365013679,0.0
9,Lame Constant MP3 Compression Bitrate 64,12,0.54475,0.29675256249999993,0.0,0.08603815091303507,0.007402563412534198,0.0
10,Lame MP3 Compression V1,0,0.044,0.0019359999999999998,0.0,0.1510706169783743,0.02282233131422667,0.0
10,Lame MP3 Compression V2,1,0.10325,0.010660562499999998,0.0,0.13263488066914894,0.01759201157011938,0.0
10,Lame MP3 Compression V3,2,0.19625,0.0385140625,0.0,0.12495332387363839,0.01561333314707037,0.0
10,Lame MP3 Compression V4,3,0.291,0.08468099999999999,0.0,0.11343098868037256,0.012866589193006808,0.0
10,Lame MP3 Compression V5,4,0.522,0.272484,0.0,0.09781182319616775,0.00956715275695838,0.0
10,Lame MP3 Compression V6,5,0.66125,0.4372515625,0.0,0.08603343610971824,0.0074017521288449704,0.0
10,Lame MP3 Compression V7,6,0.67025,0.4492350625,0.0,0.08065634635286084,0.0065054462069926485,0.0
10,Lame MP3 Compression V8,7,0.9395,0.88266025,0.0,0.06286073977659472,0.0039514726052607575,0.0
10,Lame MP3 Compression V9,8,0.95875,0.9192015625,0.0,0.052303933597209036,0.002735701469741252,0.0
10,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
10,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
10,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17206687221943648,0.029607008515379882,0.0
10,Lame Constant MP3 Compression Bitrate 64,12,0.6115,0.3739322500000001,0.0,0.08603343610971824,0.0074017521288449704,0.0
11,Lame MP3 Compression V1,0,0.066,0.0043560000000000005,0.0,0.149279846367225,0.022284472531422298,0.0
11,Lame MP3 Compression V2,1,0.0835,0.006972250000000001,0.0,0.13263629574309185,0.017592386948448925,0.0
11,Lame MP3 Compression V3,2,0.1675,0.028056250000000005,0.0,0.12367438386855863,0.015295353225267594,0.0
11,Lame MP3 Compression V4,3,0.378,0.142884,0.0,0.10626266936946549,0.011291754901524339,0.0
11,Lame MP3 Compression V5,4,0.58,0.3364,0.0,0.09128347380774565,0.008332672590409387,0.0
11,Lame MP3 Compression V6,5,0.7315,0.53509225,0.0,0.07809666062093247,0.006099088400141104,0.0
11,Lame MP3 Compression V7,6,0.73925,0.5464905624999999,0.0,0.06990291262135923,0.004886417192949383,0.0
11,Lame MP3 Compression V8,7,0.87575,0.7669380625000001,0.0,0.05902059105942601,0.0034834301690039975,0.0
11,Lame MP3 Compression V9,8,0.9265,0.85840225,0.0,0.051333617838472206,0.002635140320386312,0.0
11,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301717699775952,0.18504775168565707,0.0
11,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441374159820762,0.11843056107882055,0.0
11,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.1720687079910381,0.029607640269705138,0.0
11,Lame Constant MP3 Compression Bitrate 64,12,0.63525,0.4035425625,0.0,0.08603435399551905,0.0074019100674262844,0.0
12,Lame MP3 Compression V1,0,0.06825,0.004658062500000001,0.0,0.1473892187515913,0.021723581804204434,0.0
12,Lame MP3 Compression V2,1,0.14725,0.0216825625,0.0,0.130034932629928,0.016909083704069912,0.0
12,Lame MP3 Compression V3,2,0.1825,0.033306249999999996,0.0,0.12294656224220636,0.015115857167176724,0.0
12,Lame MP3 Compression V4,3,0.3125,0.09765625,0.0,0.11072523398751388,0.0122600774415897,0.0
12,Lame MP3 Compression V5,4,0.5125,0.26265625,0.0,0.09422644084367902,0.008878622154067343,0.0
12,Lame MP3 Compression V6,5,0.70525,0.49737756250000004,0.0,0.08347167197954965,0.006967520023061534,0.0
12,Lame MP3 Compression V7,6,0.7045,0.49632025,0.0,0.07626108830928108,0.005815753590115967,0.0
12,Lame MP3 Compression V8,7,0.93975,0.8831300624999999,0.0,0.06293984051166628,0.003961423523633987,0.0
12,Lame MP3 Compression V9,8,0.96225,0.9259250625000001,0.0,0.05177769403904715,0.0026809296000011784,0.0
12,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
12,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
12,Lame Constant MP3 Compression Bitrate 128,11,0.00525,2.7562500000000002E-5,0.0,0.17207630182607014,0.02961025365013679,0.0
12,Lame Constant MP3 Compression Bitrate 64,12,0.56675,0.3212055625,0.0,0.08603815091303507,0.007402563412534198,0.0
13,Lame MP3 Compression V1,0,0.06975,0.004865062500000001,0.0,0.14825562786727836,0.021979731194320923,0.0
13,Lame MP3 Compression V2,1,0.0755,0.00570025,0.0,0.1316120772431452,0.017321738876255616,0.0
13,Lame MP3 Compression V3,2,0.1445,0.020880249999999996,0.0,0.12444254774351862,0.015485947688897913,0.0
13,Lame MP3 Compression V4,3,0.24925,0.0621255625,0.0,0.1111277072442121,0.01234936731735531,0.0
13,Lame MP3 Compression V5,4,0.42825,0.18339806250000001,0.0,0.09281980155766563,0.008615515561204427,0.0
13,Lame MP3 Compression V6,5,0.649,0.42120100000000005,0.0,0.08232156193321243,0.006776839559123729,0.0
13,Lame MP3 Compression V7,6,0.708,0.5012639999999999,0.0,0.07393577296489919,0.005466498523917117,0.0
13,Lame MP3 Compression V8,7,0.84575,0.7152930625,0.0,0.06554998399658594,0.004296800401952673,0.0
13,Lame MP3 Compression V9,8,0.907,0.8226490000000001,0.0,0.05369678864824496,0.0028833451111342887,0.0
13,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301717699775952,0.18504775168565707,0.0
13,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441374159820762,0.11843056107882055,0.0
13,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.1720687079910381,0.029607640269705138,0.0
13,Lame Constant MP3 Compression Bitrate 64,12,0.50125,0.25125156249999997,0.0,0.08603435399551905,0.0074019100674262844,0.0
14,Lame MP3 Compression V1,0,0.063,0.003969,0.0,0.1490222018329048,0.02220761663912701,0.0
14,Lame MP3 Compression V2,1,0.143,0.020448999999999995,0.0,0.13212277688278157,0.01745642817121728,0.0
14,Lame MP3 Compression V3,2,0.19375,0.037539062500000005,0.0,0.12392911630090366,0.015358425867122903,0.0
14,Lame MP3 Compression V4,3,0.3435,0.11799225000000002,0.0,0.11010231406898464,0.012122519563345334,0.0
14,Lame MP3 Compression V5,4,0.5405,0.29214025,0.0,0.0961474858904738,0.009244339043058858,0.0
14,Lame MP3 Compression V6,5,0.73,0.5328999999999999,0.0,0.08334489123128955,0.006946370894355485,0.0
14,Lame MP3 Compression V7,6,0.7025,0.49350625000000004,0.0,0.07470313983634017,0.005580559101407793,0.0
14,Lame MP3 Compression V8,7,0.93025,0.8653650625,0.0,0.06414099924251315,0.004114067783828073,0.0
14,Lame MP3 Compression V9,8,0.94975,0.9020250624999999,0.0,0.052714683509191194,0.0027788378574741942,0.0
14,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
14,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
14,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17206687221943648,0.029607008515379882,0.0
14,Lame Constant MP3 Compression Bitrate 64,12,0.64875,0.42087656250000005,0.0,0.08603343610971824,0.0074017521288449704,0.0
15,Lame MP3 Compression V1,0,0.076,0.005776,0.0,0.147229838580619,0.021676625368475127,0.0
15,Lame MP3 Compression V2,1,0.129,0.016641,0.0,0.1300743617373121,0.01691933958136912,0.0
15,Lame MP3 Compression V3,2,0.19675,0.038710562500000004,0.0,0.12264885683498522,0.015042742082928702,0.0
15,Lame MP3 Compression V4,3,0.3695,0.13653025,0.0,0.10830995081669885,0.011731045445915723,0.0
15,Lame MP3 Compression V5,4,0.55225,0.30498006250000004,0.0,0.09179460370635116,0.008426249269606058,0.0
15,Lame MP3 Compression V6,5,0.753,0.567009,0.0,0.07963213878012611,0.006341277526697264,0.0
15,Lame MP3 Compression V7,6,0.764,0.583696,0.0,0.07201459495791147,0.0051861018869520485,0.0
15,Lame MP3 Compression V8,7,0.89225,0.7961100624999999,0.0,0.06234863599022735,0.0038873524098418733,0.0
15,Lame MP3 Compression V9,8,0.9445,0.89208025,0.0,0.049802093224226775,0.0024802484895145743,0.0
15,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
15,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
15,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17206687221943648,0.029607008515379882,0.0
15,Lame Constant MP3 Compression Bitrate 64,12,0.57,0.32489999999999997,0.0,0.08603343610971824,0.0074017521288449704,0.0
16,Lame MP3 Compression V1,0,0.04625,0.0021390625,0.0,0.14885577814215442,0.0221580426863063,0.0
16,Lame MP3 Compression V2,1,0.105,0.011024999999999998,0.0,0.13174591858558493,0.017356987063959575,0.0
16,Lame MP3 Compression V3,2,0.16375,0.026814062500000003,0.0,0.12416869506767561,0.015417864834809409,0.0
16,Lame MP3 Compression V4,3,0.25275,0.06388256249999999,0.0,0.11194736681298312,0.012532212936360594,0.0
16,Lame MP3 Compression V5,4,0.46225,0.21367506249999998,0.0,0.09434865412622595,0.008901668535430214,0.0
16,Lame MP3 Compression V6,5,0.6045,0.36542025000000006,0.0,0.08420495167483119,0.007090473886560656,0.0
16,Lame MP3 Compression V7,6,0.6715,0.45091224999999996,0.0,0.0746112089948976,0.005566832507680287,0.0
16,Lame MP3 Compression V8,7,0.92,0.8464,0.0,0.060862214708368556,0.0037042091792075537,0.0
16,Lame MP3 Compression V9,8,0.955,0.912025,0.0,0.050586114534214625,0.0025589549836686804,0.0
16,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
16,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
16,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17207630182607014,0.02961025365013679,0.0
16,Lame Constant MP3 Compression Bitrate 64,12,0.52775,0.27852006250000005,0.0,0.08603815091303507,0.007402563412534198,0.0
17,Lame MP3 Compression V1,0,0.05925,0.0035105625,0.0,0.15569813626642223,0.024241909636837387,0.0
17,Lame MP3 Compression V2,1,0.143,0.020448999999999995,0.0,0.13761075465933395,0.0189367197979114,0.0
17,Lame MP3 Compression V3,2,0.15725,0.0247275625,0.0,0.1297891842346471,0.01684523234429517,0.0
17,Lame MP3 Compression V4,3,0.27375,0.0749390625,0.0,0.11756798044607394,0.013822230026168425,0.0
17,Lame MP3 Compression V5,4,0.482,0.23232399999999997,0.0,0.09996944699052857,0.009993890331592101,0.0
17,Lame MP3 Compression V6,5,0.672,0.45158400000000004,0.0,0.0873816070882982,0.007635545257333727,0.0
17,Lame MP3 Compression V7,6,0.69425,0.48198306250000006,0.0,0.07992667277726856,0.006388273021244563,0.0
17,Lame MP3 Compression V8,7,0.94,0.8835999999999999,0.0,0.06538344026886649,0.004274994261392432,0.0
17,Lame MP3 Compression V9,8,0.9595,0.92064025,0.0,0.05403299725022915,0.002919564791843271,0.0
