SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,COMPRESSION_RATIO
40,Lame MP3 Compression V2,1,0.03525,0.11667346106807991
40,Lame MP3 Compression V3,2,0.07475,0.10273134936812067
40,Lame MP3 Compression V4,3,0.2295,0.08842233999184672
40,Lame MP3 Compression V5,4,0.48125,0.07399103139013453
40,Lame MP3 Compression V6,5,0.5935,0.06494088870770486
40,Lame MP3 Compression V7,6,0.573,0.05631879331430901
40,Lame MP3 Compression V8,7,0.5645,0.05014268242967795
40,Lame MP3 Compression V9,8,0.71275,0.04160721565430086
41,Lame MP3 Compression V1,0,0.01725,0.14113330615572767
41,Lame MP3 Compression V2,1,0.03475,0.12278842233999185
41,Lame MP3 Compression V3,2,0.04925,0.10982470444353852
41,Lame MP3 Compression V4,3,0.09225,0.08793314309009376
41,Lame MP3 Compression V5,4,0.28125,0.05625764370158989
41,Lame MP3 Compression V6,5,0.547,0.04732980024459845
41,Lame MP3 Compression V7,6,0,0.04769669792091317
41,Lame MP3 Compression V8,7,0,0.0314309009376274
41,Lame MP3 Compression V9,8,0,0.01842132083163473
42,Lame MP3 Compression V1,0,0.03775,0.14162250305748064
42,Lame MP3 Compression V2,1,0.11375,0.1210762331838565
42,Lame MP3 Compression V3,2,0.21075,0.10811251528740318
42,Lame MP3 Compression V4,3,0.3995,0.09441500203832043
42,Lame MP3 Compression V5,4,0.57225,0.07802690582959641
42,Lame MP3 Compression V6,5,0.7935,0.06787607011822258
42,Lame MP3 Compression V7,6,0.75775,0.0625560538116592
42,Lame MP3 Compression V8,7,0.959,0.056869139828781085
42,Lame MP3 Compression V9,8,0.96625,0.046911944557684465
43,Lame MP3 Compression V1,0,0.035,0.1386873216469629
43,Lame MP3 Compression V2,1,0.032,0.11765185487158582
43,Lame MP3 Compression V3,2,0.0565,0.10346514472075011
43,Lame MP3 Compression V4,3,0.201,0.08622095393395841
43,Lame MP3 Compression V5,4,0.41975,0.06812066856909907
43,Lame MP3 Compression V6,5,0.67575,0.05368935996738687
43,Lame MP3 Compression V7,6,0.616,0.048063595597227886
43,Lame MP3 Compression V8,7,0.63225,0.04366082348145128
43,Lame MP3 Compression V9,8,0,0.03180289441500204
44,Lame MP3 Compression V1,0,0.0335,0.1452914798206278
44,Lame MP3 Compression V2,1,0.1045,0.1254790052996331
44,Lame MP3 Compression V3,2,0.15325,0.11667346106807991
44,Lame MP3 Compression V4,3,0.29475,0.10248675091724418
44,Lame MP3 Compression V5,4,0.53075,0.08157358336730534
44,Lame MP3 Compression V6,5,0.706,0.06922136159804321
44,Lame MP3 Compression V7,6,0.67225,0.06090501426824297
44,Lame MP3 Compression V8,7,0.62925,0.061394211169995924
44,Lame MP3 Compression V9,8,0.74675,0.0492916836526702
45,Lame MP3 Compression V1,0,0.0585,0.14553607827150428
45,Lame MP3 Compression V2,1,0.09675,0.12816958825927435
45,Lame MP3 Compression V3,2,0.1775,0.12058703628210354
45,Lame MP3 Compression V4,3,0.2835,0.10884631064003261
45,Lame MP3 Compression V5,4,0.41775,0.09710558499796168
45,Lame MP3 Compression V6,5,0.567,0.08719934773746434
45,Lame MP3 Compression V7,6,0.70125,0.07337953526294333
45,Lame MP3 Compression V8,7,0.943,0.05845902975947819
45,Lame MP3 Compression V9,8,0.96575,0.04863432531593966
46,Lame MP3 Compression V1,0,0.05175,0.14503213683244004
46,Lame MP3 Compression V2,1,0.0765,0.12299545173069121
46,Lame MP3 Compression V3,2,0.114,0.10685229869103799
46,Lame MP3 Compression V4,3,0.3485,0.09045290512694583
46,Lame MP3 Compression V5,4,0.521,0.07315666972731738
46,Lame MP3 Compression V6,5,0.65225,0.06354765006085712
46,Lame MP3 Compression V7,6,0.55675,0.05861501996540753
46,Lame MP3 Compression V8,7,0.54775,0.055988554589908396
46,Lame MP3 Compression V9,8,0.666,0.04330998697444001
47,Lame MP3 Compression V1,0,0.00975,0.14504688136975133
47,Lame MP3 Compression V2,1,0.02425,0.12278842233999185
47,Lame MP3 Compression V3,2,0.0385,0.10248675091724418
